127.0.0.1 - - [31/Oct/2017:11:49:24 +0530] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [31/Oct/2017:11:49:25 +0530] "GET /CollegeApp/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Oct/2017:11:49:26 +0530] "GET /CollegeApp/Signin.jsp HTTP/1.1" 200 3649
0:0:0:0:0:0:0:1 - - [31/Oct/2017:11:49:26 +0530] "GET /CollegeApp/javaScript/forgetpassword.js HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [31/Oct/2017:11:49:26 +0530] "GET /CollegeApp/cssFolder/login.css HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [31/Oct/2017:11:49:27 +0530] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [31/Oct/2017:11:49:31 +0530] "GET /CollegeApp/Register.jsp HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [31/Oct/2017:11:49:31 +0530] "GET /CollegeApp/register.css HTTP/1.1" 200 790
0:0:0:0:0:0:0:1 - - [31/Oct/2017:11:49:31 +0530] "GET /CollegeApp/javaScript/passwordmatch.js HTTP/1.1" 200 1238
0:0:0:0:0:0:0:1 - - [31/Oct/2017:11:49:31 +0530] "GET /CollegeApp/cssFolder/reg.css HTTP/1.1" 200 789
0:0:0:0:0:0:0:1 - - [31/Oct/2017:11:51:28 +0530] "POST /CollegeApp/Read HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Oct/2017:11:51:28 +0530] "GET /CollegeApp/Signin.jsp HTTP/1.1" 200 3649
0:0:0:0:0:0:0:1 - - [31/Oct/2017:11:52:06 +0530] "POST /CollegeApp/Verify HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Oct/2017:11:52:06 +0530] "GET /CollegeApp/homepage.jsp HTTP/1.1" 200 11457
0:0:0:0:0:0:0:1 - - [31/Oct/2017:11:52:06 +0530] "GET /CollegeApp/cssFolder/homepages.css HTTP/1.1" 200 1743
0:0:0:0:0:0:0:1 - - [31/Oct/2017:11:52:06 +0530] "GET /CollegeApp/javaScript/branchDetails.js HTTP/1.1" 200 4629
0:0:0:0:0:0:0:1 - - [31/Oct/2017:11:53:18 +0530] "POST /CollegeApp/newStudent HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Oct/2017:11:53:18 +0530] "GET /CollegeApp/homepage.jsp HTTP/1.1" 200 11457
0:0:0:0:0:0:0:1 - - [31/Oct/2017:11:53:21 +0530] "POST /CollegeApp/BranchDetails HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [31/Oct/2017:11:53:22 +0530] "POST /CollegeApp/EditRow HTTP/1.1" 200 91
0:0:0:0:0:0:0:1 - - [31/Oct/2017:11:53:52 +0530] "POST /CollegeApp/EditedData HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [31/Oct/2017:11:53:52 +0530] "POST /CollegeApp/BranchDetails HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [31/Oct/2017:11:54:01 +0530] "GET /CollegeApp/LogOut HTTP/1.1" 200 3649
0:0:0:0:0:0:0:1 - - [31/Oct/2017:11:54:02 +0530] "GET /CollegeApp/homepage.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Oct/2017:11:54:02 +0530] "GET /CollegeApp/Signin.jsp HTTP/1.1" 200 3649
