127.0.0.1 - - [19/Dec/2017:15:02:26 +0530] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [19/Dec/2017:15:02:39 +0530] "GET /ToDoApp/ HTTP/1.1" 200 4462
0:0:0:0:0:0:0:1 - - [19/Dec/2017:15:02:39 +0530] "GET /ToDoApp/styleCSS/SideNavBar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2017:15:02:39 +0530] "GET /ToDoApp/styleCSS/homePage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2017:15:02:39 +0530] "GET /ToDoApp/script/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2017:15:02:39 +0530] "GET /ToDoApp/controller/homeController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2017:15:02:39 +0530] "GET /ToDoApp/styleCSS/TopNavBar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2017:15:02:39 +0530] "GET /ToDoApp/styleCSS/AddNote.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2017:15:02:39 +0530] "GET /ToDoApp/directives/labelFilter.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2017:15:02:39 +0530] "GET /ToDoApp/service/homeService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2017:15:02:39 +0530] "GET /ToDoApp/directives/homeDirective.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2017:15:02:40 +0530] "GET /ToDoApp/template/login.html HTTP/1.1" 200 1735
0:0:0:0:0:0:0:1 - - [19/Dec/2017:15:02:42 +0530] "GET /ToDoApp/googleLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Dec/2017:15:02:51 +0530] "GET /ToDoApp/getGoogleLogin?code=4/AAABpNWtHGvwehiWMDI8eCJWHlgvUMKXRw5Xmamm8w6VhhrV93iwHnR6dBhiYSXEogT_SqdHJnpzFMM42EGxd5c HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Dec/2017:15:02:51 +0530] "GET /ToDoApp/ HTTP/1.1" 200 4462
0:0:0:0:0:0:0:1 - - [19/Dec/2017:15:02:51 +0530] "GET /ToDoApp/template/socialLogin.html HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [19/Dec/2017:15:02:51 +0530] "GET /ToDoApp/getToken HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [19/Dec/2017:15:02:51 +0530] "GET /ToDoApp/template/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2017:15:02:51 +0530] "GET /ToDoApp/template/TopNavBar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2017:15:02:51 +0530] "GET /ToDoApp/template/SideNavBar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2017:15:02:51 +0530] "GET /ToDoApp/template/AddNote.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2017:15:02:51 +0530] "GET /ToDoApp/currentUser HTTP/1.1" 200 269968
0:0:0:0:0:0:0:1 - - [19/Dec/2017:15:02:51 +0530] "GET /ToDoApp/notesRetrieve HTTP/1.1" 200 125147
0:0:0:0:0:0:0:1 - - [19/Dec/2017:15:02:51 +0530] "GET /ToDoApp/getUserLabels HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [19/Dec/2017:15:02:51 +0530] "GET /ToDoApp/template/urlProgram.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2017:15:02:51 +0530] "GET /ToDoApp/template/ReminderIcon.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2017:15:02:51 +0530] "GET /ToDoApp/template/NoteColor.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2017:15:02:51 +0530] "GET /ToDoApp/template/MoreOptions.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2017:15:02:51 +0530] "POST /ToDoApp/collaborate HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [19/Dec/2017:15:02:51 +0530] "POST /ToDoApp/collaborate HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [19/Dec/2017:15:02:51 +0530] "POST /ToDoApp/collaborate HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [19/Dec/2017:15:02:51 +0530] "POST /ToDoApp/collaborate HTTP/1.1" 200 208844
0:0:0:0:0:0:0:1 - - [19/Dec/2017:15:02:51 +0530] "POST /ToDoApp/collaborate HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [19/Dec/2017:15:02:54 +0530] "POST /ToDoApp/getImageUrl HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [19/Dec/2017:15:21:46 +0530] "GET / HTTP/1.1" 404 1070
