127.0.0.1 - - [05/Jan/2018:12:54:11 +0530] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [05/Jan/2018:12:54:12 +0530] "GET /ToDoApp/ HTTP/1.1" 200 4462
0:0:0:0:0:0:0:1 - - [05/Jan/2018:12:54:12 +0530] "GET /ToDoApp/styleCSS/SideNavBar.css HTTP/1.1" 200 571
0:0:0:0:0:0:0:1 - - [05/Jan/2018:12:54:12 +0530] "GET /ToDoApp/styleCSS/AddNote.css HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [05/Jan/2018:12:54:12 +0530] "GET /ToDoApp/script/app.js HTTP/1.1" 200 1660
0:0:0:0:0:0:0:1 - - [05/Jan/2018:12:54:12 +0530] "GET /ToDoApp/styleCSS/homePage.css HTTP/1.1" 200 3389
0:0:0:0:0:0:0:1 - - [05/Jan/2018:12:54:12 +0530] "GET /ToDoApp/styleCSS/TopNavBar.css HTTP/1.1" 200 368
0:0:0:0:0:0:0:1 - - [05/Jan/2018:12:54:12 +0530] "GET /ToDoApp/bower_components/angular-img-cropper/dist/angular-img-cropper.min.js HTTP/1.1" 200 24823
0:0:0:0:0:0:0:1 - - [05/Jan/2018:12:54:12 +0530] "GET /ToDoApp/controller/loginController.js HTTP/1.1" 200 495
0:0:0:0:0:0:0:1 - - [05/Jan/2018:12:54:12 +0530] "GET /ToDoApp/directives/labelFilter.js HTTP/1.1" 200 452
0:0:0:0:0:0:0:1 - - [05/Jan/2018:12:54:12 +0530] "GET /ToDoApp/directives/homeDirective.js HTTP/1.1" 200 2510
0:0:0:0:0:0:0:1 - - [05/Jan/2018:12:54:12 +0530] "GET /ToDoApp/controller/setPasswordController.js HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [05/Jan/2018:12:54:12 +0530] "GET /ToDoApp/controller/registerController.js HTTP/1.1" 200 416
0:0:0:0:0:0:0:1 - - [05/Jan/2018:12:54:12 +0530] "GET /ToDoApp/service/setPasswordService.js HTTP/1.1" 200 273
0:0:0:0:0:0:0:1 - - [05/Jan/2018:12:54:12 +0530] "GET /ToDoApp/controller/homeController.js HTTP/1.1" 200 21101
0:0:0:0:0:0:0:1 - - [05/Jan/2018:12:54:12 +0530] "GET /ToDoApp/service/loginService.js HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [05/Jan/2018:12:54:12 +0530] "GET /ToDoApp/controller/socialLoginController.js HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [05/Jan/2018:12:54:12 +0530] "GET /ToDoApp/service/passwordService.js HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [05/Jan/2018:12:54:12 +0530] "GET /ToDoApp/controller/passwordController.js HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [05/Jan/2018:12:54:12 +0530] "GET /ToDoApp/service/registerService.js HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [05/Jan/2018:12:54:12 +0530] "GET /ToDoApp/service/socialLoginService.js HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [05/Jan/2018:12:54:12 +0530] "GET /ToDoApp/service/homeService.js HTTP/1.1" 200 1413
0:0:0:0:0:0:0:1 - - [05/Jan/2018:12:54:19 +0530] "GET /ToDoApp/template/login.html HTTP/1.1" 200 1735
